Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
Makati ayala bedspace,6000,"- with aircon and strong wifi
- fully furnished (ref, microwave, tv, etc.)
- with cabinets and bed foam (Uratex)
- this is a single condo unit (2 storey) with 2 bathrooms (bedspace style)
- 6000/head inclusive water, electric, condo dues
- 1 month advance 1 month deposit
- 6 months minimum stay
- female only",Makati Ayala,1,2,Metro Manila (NCR),Makati City,N/A,45,,,,https://www.carousell.ph/p/makati-ayala-bedspace-1021565437/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace ortigas mandaluying,4000,"AVAIL NOW promo!!

BEDSPACE
4000 now. limited promo slot

Covid free place
medical certificate required

 Bedspacer condosharing
walking distance to ortigas CBD

Cityland shaw tower (likod ng edsa shangrila mall)

Bedspacer (Room for male) all male unit
non aircon availble
4000 inclusive of water electricity assoc dues all in ( free use of gym and pool) with laundry room kitchen and dining area

Bedspacer (Room for Female) all female unit 
units aircon and non aircon availble
4000 inclusive of water electricity assoc dues all in ( free use of gym and pool) with laundry room
kitchen and dining area

amenities
pool
gym
24hr security
cctv protected
grocery store at ground floor
canteen at ground floor serves breakfast and lunch
laundry shop

requirements

med certificate covid free
id
one time 1k registration and movein fee
advance and deposit

or contact me
09159588894",Cityland Shaw Tower,2,1,Metro Manila (NCR),Mandaluyong City,Wack-wack Greenhills,45,,,,https://www.carousell.ph/p/bedspace-ortigas-mandaluying-1052107405/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=wimlmPfonG_CRJm3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Aircon for Rent near Ayala,3000,"For female DAYSHIFT workers only!
Terms:
- P3000/mo.
- one-month adv, one-month dep,
- 4 months contract.
Reqmts:
- one photocopy of two valid ID's (one personal & one company ID)
- health certificate.

- 2 rooms for rent, 4 tenants per room (8ft x 10ft space)
- submeter electricity
- free household water (inclusive to the rent), but NO laundry allowed
- free WiFi, landline telephone calls, refrigerator, gas stove, hot-water airpot
- w/ ceiling fan & light
- common CR & kitchen
- flood-free area along VitoCruz Sr. Extn. (PabloOcampo Sr. Extn.) / Shopwise PasongTamo St. (ChinoRoces Ave.)
- near Shopwise grocery, wet market, water & laundry stations, McDo, KFC, Chowking, Shakeys, 711, small eaterys, Mercury drugstore, parlor/salon, banks, church/chapel
- walkable to Makati CBD (AyalaAve., MakatiMed, Firestation, Buendia GilPuyat, PasongTamo ChinoRoces, Metropolitan, Jupiter, JP Rizal, PRC)
- accessible by jeep, tricycle, taxi 24/7, one jeep ride to LRT-Taft Buendia & VitoCruz stn, MRT-Magallanes stn & PNR VitoCruz stn.",2284 Cervera St. Brgy La Paz Makati City,2,1,Metro Manila (NCR),Makati City,Brgy La Paz,8,,,,https://www.carousell.ph/p/bedspace-aircon-for-rent-near-ayala-1030889712/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace Ortigas,4000,"Available now!!!!

Our unit is located in San Antonio Village Pasig.

>Near Capitol Commons, SSS, Pag-ibig, Astoria and Ultra.

>15 mins walk to Tektite, Metrowalk, Podium, Ortigas Business Center, Megamall.

>5 mins walk to Estancia/Capitol Commons

Included:
Electricity
Water
Wifi access
Stove
Cable
Cooking utensils
use of ref, microwave,coffee maker, kettle
4000 - with AC

Highly secured 24/7 security.

Requirements:
Photocopy of Govt issued ID, COE  or NBI

Viewing sched.
Anytime - ( please text prior viewing)
Contact # 09266632576",Gen. Atienza St.,1,1,Metro Manila (NCR),Pasig City,Bgry. San Antonio,52,,0,,https://www.carousell.ph/p/female-bedspace-ortigas-244521978/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
FIRST MONTH FREE: Makati Dormitories – Bedspaces – Co-Living,3250,"We are all affected by the COVID-19 situation, and we are also all part of the solution. 

At Euroflats, we have deployed footbaths and we DISINFECT our hallways and stairs every day. 

Your dormitory room is cleaned daily, and we DISINFECT the inside of your room every 48 hours. 

We have hand sanitize stations, we take temperature of our tenants weekly and we ask our tenants to wear masks in the public areas of our buildings. 

We also require swab tests or medical certificates when moving in. 

If we all do our part, we all reduce our risk.

And to help you get started again, you get the FIRST MONTH FREE with us if you sign in during August !! 

“Euroflats” offers Male and Female Dorms; very clean and well-maintained.

Dorms are equipped with WiFi, Aircon & Cable TV. Charges for Internet and Cable TV are included in the price, cost of utilities is shared with your room mates

We provide 2 sets of pillows, pillowcases, flat & fitted sheets for free. Daily cleaning of your room and the laundry of your bed sheets twice a month is provided for free as well.

Our Building Administrator lives in the same building to ensure we cater to your needs.

A single ride brings you to BGC or CBD.

Terms: 2 months deposit; 12 months contract; no pets; no parking.

Call Ruby at 09-EUROFLATS"," 508 Yakal Street, Barangay Comembo, Makati City, Comembo",2,2,Metro Manila (NCR),Makati City,Comembo,50,,0,,https://www.carousell.ph/p/first-month-free-makati-dormitories-%E2%80%93-bedspaces-%E2%80%93-co-living-1024477931/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
GA tower condo bedspace pioneer boni ortigas shaw rockwell cybergate,4500,"G.A Towers Condo Bed Space for FEMALE near pioneer ortigas shaw cybergate mandaluyong bgc rockwell

•Spacious with full size comfortable bed
•Near office and mrt- save time and traffic stress
•Cozy Fully furnished - appliances and furniture

Location: 
Mandaluyong City in front of Boni Ave. MRT Station (right in front of boni mrt station)

2 Bedroom Unit- Fully Furnished
With 2 Comfort room

MALE BEDSPACE
Price: 
Bedroom 1 (Max 2 person): 

Bedroom 2 (Max 4 person): 

PACKAGES:
Free WIFI, CABLE (inside the unit)
Inclusive of Condo dues
Air-Conditioned per room - comfortable sleep
Refrigerator 
LED TV - 27inches
Microwave, induction cooker
Cabinets (big size for all your clothes)
Bed with matress- full size
Shoe rack
Dining set
Flat Iron with Stand

AMENITIES:
Swimming pool
Gym

For inquiries pls PM/SMS Joseph 0917 861 3675 or 09366120776","G.A. Tower 2 Condominium Corporation 
Mezzanine Flr. Admin. Office, G.A. Tower 2 Condominium
#83",2,2,Metro Manila (NCR),Manila,EDSA,52,,,,https://www.carousell.ph/p/ga-tower-condo-bedspace-pioneer-boni-ortigas-shaw-rockwell-cybergate-239348899/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Looking for One Male Bedspacer - 588 Residences Boni Area near Boni MRT,5200,"For Rent:
24 sqm.

Inclusive of internet connection, water bill, electric bill and association dues. 

One month advance and one month deposit plus P2,000 security deposit to move in. PM for details.

Move in January 10, 2021.

Thanks.","Cordillera Street cor. Arayat Street, Boni",1,1,Metro Manila (NCR),Mandaluyong City,N/A,24,,0,,https://www.carousell.ph/p/looking-for-one-male-bedspacer-588-residences-boni-area-near-boni-mrt-269672506/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace Makati,2800,"2861 E. Zobel St., cor JP Rizal Ave., Poblacion, Makati City
Walking distance to Makati Ave., Century City Mall, A.Venue Mall, Antel Towers Gramercy Residence, MIlano Residences, Knightbridge Residences accessible to Ayala, Rockwell, Gil Puyat Ave., Ayala Center, Greenbelt, Mapua Mkt.,Salcedo Vill. Paseo DeRoxas CEU. 
Room for 2 pax  Php. 3,000/ head , Room for 6 pax air condition (metered)  Php.3,000/ head  Room for 4 pax air condition (metered) Php. 3000/head and 10 pax Php. 2.800/ head
-1mos. adv./ 1mos dep. /6mos contract 
- 3 C.R. 3 Shower Rooms 
-Electricity and Water 
-Free Wifi
-Laundry/Ironing is ALLOWED.
-With CCTV 24/7
-Cooking not allowed",2861 E. Zobel St,5,5,Metro Manila (NCR),Makati City,"cor JP Rizal Ave., Poblacion",150,,,,https://www.carousell.ph/p/female-bedspace-makati-238535898/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Condo Sharing Ortigas,4500,"FULLY FURNISHED UNIT for LADIES.

WITH VERY SPACIOUS COMMON AREA .
SET UP FURNISHED LIVING ROOM WITH ENTERTAINMENT, DINING AREA
WITH FULLY SET UP KITCHEN WITH REFRIGERATOR, STOVE& MICROWAVE
WITH  LAUNDRY AREA
EACH BEDROOM IS WITH OWN CLOSET AND TOILET & BATH

RESERVATION is at FIRST COME FIRST SERVE BASIS!

Non Aircon  -P 4,500/person/mo - ALL IN!

Air conditioned  Room-P 4,500/person/month
(Plus electricity equally shared by tenants)

Rates are inclusive of the following:
Rent WIFI
Condo Dues    Cable TV
Electricity  
Tap Water  
In house Maintenance staff/ Housemaid

1 month advance + 1 month Security deposit.
for long term and short term tenant",Goldloop tower Escriva Drive Ortigas Pasig,4,4,Metro Manila (NCR),Pasig City,Escriva Drive,198,,,,https://www.carousell.ph/p/bedspace-condo-sharing-ortigas-238523481/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bonifacio Heights Condominium McKinley BGC Male condosharing Bedspace,4500,"- 2BEDROOMw FULLY FURNISHED CONDO
-4500-?5500 MALE Condosharing/Bedspace McKinley BGC Taguig Move in ASAP
Location: BONIFACIO HEIGHTS CONDOMINIUM Lawton Ave, Fort Bonifacio
-1st room shared by 2 persons (5500/head)= NO SLOT available/fully occupied

-2nd room shared by 4 persons (4800/head)= 2 SLOT available only. first come first serve basis
+Air-coned rooms 
+Cooking allowed
+Swimming pool
+Basket ball court
+Built in cabinets
+Fan
+bike parking
+WiFi
+Bed and foam
+Refrigerator 
+Utensils

FULLY FURNISHED STUDIO UNIT
-Shared by 6 persons (4500/head)=2 slots available

Available in the condominium: Grocery stores,drinkingwater station,laundry serv,Bayad center, Pantry,Clubhouse

PAYMENT TERM:1mon advance and 1mon security deposit. 
Very convinient to Cyber Sigma,west mckinley, Telus, Venice Mall,Cognizant,Optum, Onewolrd Squere, BGC, SM Aura.
5 mins away to McKinley, 10mins away to BGC at Bonifacio Heights Condominium for working Professionals only.Superb amenities & 24/7 security
Very affordable, Very convenient, secured and peaceful place.
On a budget ka? WFH set up? Skeletal? Dito ka na.
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**",Bonifacio Heights condominium Lawton Ave The Fort,2,1,Metro Manila (NCR),Taguig,Fort Bonifacio,50,,0,,https://www.carousell.ph/p/bonifacio-heights-condominium-mckinley-bgc-male-condosharing-bedspace-280829165/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=VExIJaxR9jgxgLAr&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Male in Makati 2500,2500,"The place is near Makati Circuit, Ayala Avenue, Makati Ave. 

1.  1 month deposite 1 month advance payment
2. Free basic water and electricity
3. Additional payment for electricity for additional appliance
4. Clean Rest Room
5. Wifi available
6. Wifi and electricity negotiable additional payment for Work From Home status
7.  Labatory for laundry
8. Cabin provided with locker
9. Key for gate and doors is provided.
10. No curfew
11. 4-6 people in 1 room",5930 San Diego St. Brgy. Olympia Makati City,5,2,Metro Manila (NCR),Makati City,Olympia,20,,,,https://www.carousell.ph/p/bedspace-for-male-in-makati-2500-1054929332/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=wE3LNKfimD3rkBms&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Dormitory in Makati-Room and bedspace rental,2800,"- Reasonable rate Php 2,800 up with
    free basic electricity and water
-Proper registered as dormitory
-Center Location next to MRT , various      
    bus and jeepney routes
-Mostly one ride to destination like BGC, 
   Ayala, Ortigas,Pasay and others.
-Every floor has its own sitting area with 
    TV
-Premises is fully secured with guard 
   and CCTV Camera
-Building is fully equipped with     
   approved fire protection system
-Canteen with TV
-Free Wifi and purified hot and cold 
   drinking water.",8602 Sgt.Fabian Yabut Street.Guadalupe Nuevo Makati City,5,5,Metro Manila (NCR),Makati City,Guadalupe Nuevo,9,,,,https://www.carousell.ph/p/dormitory-in-makati-room-and-bedspace-rental-1052915757/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=MlOaxhZKWQdlTX4D&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
"Female Bedspace in Pembo, Makati - 5mins walk to SM Aura - P2,500pm",2500,"- Location: Cactus St, Pembo, Makati
- 6 spaces available
- Choice of 3 bedrooms on the 3rd Floor. 
- Own entrance & flood free
- 2 CRs and 2 Showers
- Kitchen area - No gas cooking allowed
- 2 Bedrooms - 3 Bedspace
- 1 Bedroom - 4 Bedspace
- Good for working ladies in BGC, Makati, Guadalupe
- 1 month advance required 

Message for more details or contact Sising - 0930 022 6114","Cactus St., Pembo",3,2,Metro Manila (NCR),Makati City,Pembo,80,,,,https://www.carousell.ph/p/female-bedspace-in-pembo-makati-5mins-walk-to-sm-aura-p2-500pm-1051794076/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=ENi31HVooo3PGKCD&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
dorm bedspace palanan makati,3700,"QUALITY DORM BETTER THAN BEDSPACE MAKATI  
P3700 mo, includes ALL-IN amenities, in fan room,  7+1 mo contract, 
rates increase for shorter term stay
AC shared bedslot in rooms available too. Must come and view.",N/A,N/A,N/A,Metro Manila (NCR),Makati City,Palanan,10,,,,https://www.carousell.ph/p/dorm-bedspace-palanan-makati-1052944453/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=ENi31HVooo3PGKCD&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
FIRST MONTH FREE: Makati Dormitories – Bedspaces – Co-Living,3250,"We are all affected by the COVID-19 situation, and we are also all part of the solution. 

At Euroflats, we have deployed footbaths and we DISINFECT our hallways and stairs every day. 

Your dormitory room is cleaned daily, and we DISINFECT the inside of your room every 48 hours. 

We have hand sanitize stations, we take temperature of our tenants weekly and we ask our tenants to wear masks in the public areas of our buildings. 

We also require swab tests or medical certificates when moving in. 

If we all do our part, we all reduce our risk.

And to help you get started again, you get the FIRST MONTH FREE with us if you sign in during August !! 

“Euroflats” offers Male and Female Dorms; very clean and well-maintained.

Dorms are equipped with WiFi, Aircon & Cable TV. Charges for Internet and Cable TV are included in the price, cost of utilities is shared with your room mates

We provide 2 sets of pillows, pillowcases, flat & fitted sheets for free. Daily cleaning of your room and the laundry of your bed sheets twice a month is provided for free as well.

Our Building Administrator lives in the same building to ensure we cater to your needs.

A single ride brings you to BGC or CBD.

Terms: 2 months deposit; 12 months contract; no pets; no parking.

Call Ruby at 09-EUROFLATS"," 508 Yakal Street, Barangay Comembo, Makati City, Comembo",2,2,Metro Manila (NCR),Makati City,Comembo,50,,0,,https://www.carousell.ph/p/first-month-free-makati-dormitories-%E2%80%93-bedspaces-%E2%80%93-co-living-1024477931/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=wE3LNKfimD3rkBms&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Lady Bedspacer in Mandaluyong,2500,"Lady Bedspacer in Mandaluyong 

Location: 60 P. Cruz, Brgy. Barangka Ibaba, Mandaluyong City 

Floor Area: 10 SQM.

2 PAX per room
2 Common CR
1 Common Kitchen/ Sink
With doubledeck and foam
1  Month deposit & 1 Month advanced 
* Electric fan and wifi not included *
1 ride by tricycle from Boni-EDSA
Near Rockwell Makati

Price: P2,500 per head (2 pax in 1 room); inclusive of light and water

DM me if interested!!!",60 P. Cruz,1,2,Metro Manila (NCR),Mandaluyong City,Barangka Ibaba,10,,,,https://www.carousell.ph/p/lady-bedspacer-in-mandaluyong-1047995964/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=VZ-kRLkhD6YZ6PkN&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Female bedspace / BED SPACE in Makati 15.mins going to Ayala,3500,"FEMALE BEDSPACE for Rent.

Location: Makati
-Near RCBC, PBCOM, Alphaland, Makati Med... 
-Near Circuit Mall
-Near Shopwise Makati
-Near Jp Rizal and Kalayaan
-One ride going Makati Ave. And Ayala. 

Non AC Room only.
Inclusions:
-Electricity (consumable) 
-Water (consumable) 
-Secured CCTV in hallways
-Mattress
-Locker
-Common kitchenette with table, chairs and utensils
-Common CR with shower
-Clothes rack and hangers
-Electric fan in kitchen
-Body Mirror
-Rooftop

-Rules and Regulation implemented for safety. 
-Cooking and washing of clothes are allowed 
-No curfew
-1month advance 1month deposit. 
-Valid Id required. 

Price:  3,500 monthly. 
Contact: 09496179066 / 09217898483

Or Visit us : 3938 yague st makati",Yague,2,1,Metro Manila (NCR),Makati City,Santa Cruz,50,,,,https://www.carousell.ph/p/female-bedspace-bed-space-in-makati-15-mins-going-to-ayala-1047481632/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=VZ-kRLkhD6YZ6PkN&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Bedspace condo sharing makati,3000,"3000 included water, electricity, assoc dues
Free use ref, tv, wifi fibr, electric kettle, kitchenwares, dinning area
Provided uratex foam
Electric fan for non aircon

3,500 aircon all included 
included water, electricity, assoc dues
Free use ref, tv, wifi fibr, electric kettle, kitchenwares, dinning area
Provided uratex foam

Pwede magluto at maglaba
No curfew

Safe w/ 24hrs security guards",Palm towers saint paul rd brgy san antonio makati city,2,3,Metro Manila (NCR),Makati City,San Antonio,60,,,,https://www.carousell.ph/p/bedspace-condo-sharing-makati-1050012753/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=ryEhpnUIOPUDTnDU&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Makati Ladies Bedspace room for rent boarding house dormitory,2800,"Condo type bedspace for Rent.

PRICE: 
Top Bed - 2,800
Bottom Bed - 3,000
With cooking and laundry area. 
TXT SMS - (0943) 486-8800

FREE / INCLUSIVE:
Inclusive of Wi-Fi, water and electricity consumption
Clean and Organized
Secured and gated with CCTV
Regular Housekeeping
Double Deck Beds with Foam Uratex Mattress
Wall Fans
Hot and Cold Filtered Drinking Water
Common Areas with TV
Steel Beds
Steel Lockers
Uratex Foam Mattress
Clean Bathrooms

Nearby Establishments:

- Buddy's cor Kalayaan
- Century Mall 
- Circuit Makati (5 Mins walk)
- Makati Cityhall 
- SM Jazz (10 mins walk)
- Mapua (10 mins walk)
- Ayala Triangle
- SSS / BIR / Philhealth
- French Embassy / VFS Global
- Goethe Institute
- Jollibee / Chowking / Mcdonalds
- St. Andrews Church
- City Garden Grand Hotel

TXT SMS - (0943) 486-8800",1513 D. Oliman St. ,5,4,Metro Manila (NCR),Makati City,Valenzuela,N/A,,,,https://www.carousell.ph/p/makati-ladies-bedspace-room-for-rent-boarding-house-dormitory-1022849174/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=wE3LNKfimD3rkBms&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Bedspace Makati,5000,"Each bedspace arrangement for 2 male professionals in Makati, all in, at P5,000 per person (room is good for 2 persons only): utilities (water, electricity, PLDT Fiber Wi-Fi access); airconditioned (8PM-6AM); access to receiving, dining (cooking is allowed), and laundry areas (washing machine is provided); weekly replacement of beddings (provided with bed sheet, linen, 2 pillows and casing); and weekly room cleaning. ",Macabulos Street,1,1,Metro Manila (NCR),Makati City,Bangkal,N/A,,,,https://www.carousell.ph/p/bedspace-makati-1048906089/?t-id=XR1Flug3gE_1608185177796&t-referrer_browse_type=search_results&t-referrer_request_id=wE3LNKfimD3rkBms&t-referrer_search_query=bedspace%20makati&t-referrer_sort_by=popular
Bedspace Ortigas Pasig San Antonio for Rent Bedspacer Dorm boarding house bed space room share,3700,"BEDSPACE for GIRLS at San Antonio Village, Ortigas Center, Pasig City  (For Female only)

Very ideal and safe for those working in Ortigas, Pasig, Boni & Mandaluyong Area.

~ FREE FAST 25mbps WIFI
~ Bed with 3"" Uratex Foam
~ Individual Electric Fan provided
~ With Built-in Cabinets 
~ Furnished
~ Cooking Allowed with Ref, Rice Cooker, Stove
~ Laundry Allowed With Laundry Area
~ NO Curfew
~ Big Dining / Living room area
~ 24 hrs Security & CCTV
~ Exclusive for Ladies, girls, woman only 
~ 2 months minimum stay

6 in the Room:
Upperdeck - P3700 
Lowerdeck - P3900 

4 in the Room:
Upperdeck - P4000  

1 month Advance + 1 month Deposit.

For more info contact : 09176056862

~ Very Near Meralco Ave / Estancia Mall / Maersk / Capitol Commons
~ 6mins walk  Astoria / Millenia Tower / NEDA / Shaw Blvd
~ 7mins walk Ayala 30th
~ 7mins walk Julia Vargas
~ 8mins walk One San Miguel
~ 11mins walk Pioneer Centre
~ 11mins walk Cityland Shaw Tower
~ 12mins walk Tycoon Center / University Asia Pacific
~ 13mins walk Philippine Stock Exchange Tektite
~ 13mins walk Rockwell Sheridan
~ 15mins walk MRT Shaw Station / Shangri-la / Megamall

~ Within Ortigas Center",San Antonio,2,2,Metro Manila (NCR),Pasig City,Ortigas Center,160,,,,https://www.carousell.ph/p/bedspace-ortigas-pasig-san-antonio-for-rent-bedspacer-dorm-boarding-house-bed-space-room-share-1052875118/?t-id=aFnuJbFgMp_1608186088865&t-referrer_browse_type=search_results&t-referrer_request_id=YDrJSt3tvnbA4wU1&t-referrer_search_query=bedspace%20pasig&t-referrer_sort_by=popular
Pasay bedspace: Ladies Private Bedspace near Victory Pasay Mall & LRT Station,3500,"Ladies private bedroom with work table available for lease.
walking distance to Libertad LRT Station.  located right across Victory Pasay Mall & Public Market.
provided with washing machine, shared kitchen and shared toilets.
filtered drinking water also available.
each bed is private with curtains and with private lockable locker space.
with lower deck or upper deck.
water and electricity all included.
minimum of 6 months rental contract.
no parking available.  open laundry area also provided.
each room has a maximum of 8 beds, we have 4 toilets for sharing."," Libertad St. Pasay City, Pasay City",1,1,Metro Manila (NCR),Pasay City,Barangay 40,15,,0,,https://www.carousell.ph/p/pasay-bedspace-ladies-private-bedspace-near-victory-pasay-mall-lrt-station-1045658421/?t-id=z5ZQvf-5Ji_1608186274929&t-referrer_browse_type=search_results&t-referrer_request_id=Tv8OsjE4l38nz9YO&t-referrer_search_query=bedspace%20pasay&t-referrer_sort_by=popular
Room for Rent in Quezon City,6000,"Condo Type Room with own CR, small kitchenette, bed, mattress, fan, table and chair. Near mny eateries, mini marts, laundymats, market, bus and tricycle depots.  Room is inside a new and modern house, jst walking distance from Gate One.  Very near Batasan, DSWD, COA, Techo Hub.  Very clean, quiet and safe subdivision with 24 hrs roving security.  See to appreciate.  One month deposit plus one month advance.  Text/Call Emilie Ugarte 09178391090 for viewing appointment. Read Less Read Less","No. 17 Dona Justina St., Batasan Hills, QC.",1,1,Metro Manila (NCR),Quezon City,Alicia,25,,,,https://www.carousell.ph/p/room-for-rent-in-quezon-city-1055348804/?t-id=5C863Whdoq_1608186719640&t-referrer_browse_type=search_results&t-referrer_request_id=0ntKNlPwgG2cefyX&t-referrer_search_query=bedspace%20quezon%20city&t-referrer_sort_by=popular
"Bedspace - Project 6, Quezon City",1700,"Bedspace 

15 minutes to SM North/Trinoma

P1700/month/person including water, excluding electricity

Electrical consumption is billed separately based on monthly submeter reading.

Common: Dining area, Sala, Laundry area, Kitchen, CR (separate Male and Female CR)

One month deposit only on the 1st day

16 Faith Street, Teresa Village, Barangay Bahay Toro, Project 6, Quezon City","16 Faith Street, Teresa Village",N/A,N/A,Metro Manila (NCR),Quezon City,Project 6,8,,,,https://www.carousell.ph/p/bedspace-project-6-quezon-city-1050166042/?t-id=5C863Whdoq_1608186719640&t-referrer_browse_type=search_results&t-referrer_request_id=R-U9dqY6dy8nH_MG&t-referrer_search_query=bedspace%20quezon%20city&t-referrer_sort_by=popular
room for rent dorm bedspace qc quezon city,3800,"room for rent
P3800
very accessible , 24/7 makakasakay ka sa public transpo.
walking distance lang sa ever commonwealth qc

1 mo. adv and 1 mo dp
no parking
no pets
hindi po ako laging online call or txt na lang para ma assist po",N/A,N/A,N/A,Metro Manila (NCR),Quezon City,Matandang Balara,45,,,,https://www.carousell.ph/p/room-for-rent-dorm-bedspace-qc-quezon-city-1056662308/?t-id=5C863Whdoq_1608186719640&t-referrer_browse_type=search_results&t-referrer_request_id=dTQNre-afqbLDcql&t-referrer_search_query=bedspace%20quezon%20city&t-referrer_sort_by=popular
"Hommy Studio rooms in Makati, business center",16000,"Citadel Inn Makati  Studio Apartment.

 24 square meters, large terraces.  Modern, fully equipped with high speed wifi, kitchen with cooking tools, private bathroom with hot shower and bidet.  Lease term minimum 1 week.

 1 month advance payment, 5 K PHP deposit",N/A,N/A,1,Metro Manila (NCR),Makati City,Poblacion,24,,,,https://www.carousell.ph/p/hommy-studio-rooms-in-makati-business-center-1053467601/?t-id=NJWng0Nydo_1608186891998&t-referrer_browse_type=search_results&t-referrer_request_id=NK63kLYftH622_Na&t-referrer_search_query=bedspace%20Manila&t-referrer_sort_by=popular
Couple Bedspace for Rent Pedro Gil Taft Malate Manila,8500,"We have Aircon Bedspace available in PedroGil Taft Malate, as priced below

WATCH VIDEO TOUR HERE:","VICTORIA DE MANILA, 1655 Taft Ave., cor PedroGil St",2,1,Metro Manila (NCR),Manila,Malate - Barangay 696,21,,,,https://www.carousell.ph/p/couple-bedspace-for-rent-pedro-gil-taft-malate-manila-1054003616/?t-id=NJWng0Nydo_1608186891998&t-referrer_browse_type=search_results&t-referrer_request_id=NK63kLYftH622_Na&t-referrer_search_query=bedspace%20Manila&t-referrer_sort_by=popular
Bedspace for ladies only in Mckinley hill Fort bonficaio BGC area Taguig,5000,"Bedspace for ladies only in a 2 bedroom condo for rent in Mckinley hill Fort bonficaio BGC area Taguig

Located at Bonifacio Heights Lawton Ave. Fort Bonifacio Taguig

7mins from McKinley Hill
13mins from BGC
16mins from Ayala
(as per Google Map)
Fully Furnished with bed, mattress, aircon, fridge, gas stove

Amenities
24hrs security
Gated community
Swimming pool
Club house
Basketball court

P5,000 monthly, inclusive of association dues.  EXCLUDES Electricity, Water and WIFI bills, Gas Cylinder fee.  Utilities to be divided equally among existing occupants.

6Months minimum contract, 1month advance, 1month deposit. 1,000 security deposit.

0917.812.1905 or rtabayan_07@yahoo(dot)com",Lawton Ave,2,1,Metro Manila (NCR),Taguig,Fort Bonifacio,43,,0,,https://www.carousell.ph/p/bedspace-for-ladies-only-in-mckinley-hill-fort-bonficaio-bgc-area-taguig-1050609042/?t-id=ZuqP850u9z_1608187583066&t-referrer_browse_type=search_results&t-referrer_request_id=Pgndn1rI8PC7KQVi&t-referrer_search_query=bedspace%20Taguig&t-referrer_sort_by=popular
